"device","brand","model","part_name","stock_quantity","unit_cost_ksh","supplier","reorder_threshold","reorder_time_days"
"Desktop PC","Dell","PowerEdge T40","Charger",239,"2925","FixIt Supplies","25","14"
"Tablet","Apple","iPad Mini 6","Motherboard","30","8618","RepairHub","14","9"
"Desktop PC","Dell","Vostro 3710","Motherboard","101","13384","PartsZone","31","3"
"Laptop","Acer","Aspire 3","Speaker","45","9950","GadgetFix","36","10"
"Desktop PC","Dell","OptiPlex 5090","Motherboard","215","8367","PartsZone","17","12"
"Tablet","Samsung","Tab S5e","Battery","116","2440","QuickRepair","50","6"
"Tablet","Apple","iPad Pro 12.9","Screen","264","13962","SmartParts Kenya","10","13"
"Laptop","HP","Victus 16","Speaker","45","9899","SmartParts Kenya","34","10"
"Phone","iPhone","11","Microphone","218","12370","SmartParts Kenya","33","13"
"Phone","Xiaomi","Mi 11","Speaker","220","11061","TechWorld","22","10"
"Tablet","Huawei","MediaPad T5","Motherboard","295","10161","FixIt Supplies","46","3"
"Desktop PC","HP","Z2 Mini","Microphone","29","10701","DigitalCare","30","10"
"Tablet","Apple","iPad Air 5","Back Cover","172","1857","ElectroSpare","10","7"
"Desktop PC","HP","Compaq 6200","Microphone","98","4330","FixIt Supplies","34","7"
"Tablet","Huawei","MediaPad T5","Screen","39","13970","DigitalCare","18","7"
"Phone","iPhone","14","Screen","151","9575","SmartParts Kenya","40","7"
"Tablet","Huawei","MatePad Paper","Camera","133","2732","QuickRepair","23","7"
"Laptop","Acer","Swift 3","Battery","45","4814","PartsZone","24","12"
"Phone","Samsung","A73","Back Cover","84","7539","FixIt Supplies","21","8"
"Tablet","Huawei","MediaPad M5","Back Cover","219","8897","QuickRepair","13","12"
"Phone","Huawei","Nova 9","Back Cover","190","3606","DigitalCare","13","8"
"Desktop PC","Dell","OptiPlex 7090","Charger","123","1811","MobileFix","11","6"
"Tablet","Lenovo","Yoga Tab 13","Microphone","281","4891","FixIt Supplies","11","13"
"Desktop PC","Dell","OptiPlex 7090","Camera","216","7038","RepairHub","46","13"
"Laptop","Asus","Chromebook C434","Camera","283","12507","RepairHub","20","13"
"Desktop PC","HP","Envy Desktop","Battery","121","14677","FixIt Supplies","18","5"
"Desktop PC","Lenovo","Legion T5","Camera","200","14565","RepairHub","33","7"
"Tablet","Huawei","MatePad Pro","Microphone","93","7811","PartsZone","43","5"
"Tablet","Apple","iPad 7th Gen","Screen","80","6984","QuickRepair","43","8"
"Laptop","Acer","Predator Triton","Motherboard","88","5881","ElectroSpare","48","14"
"Laptop","Dell","XPS 13","Speaker","24","3311","TechWorld","35","9"
"Laptop","Dell","Precision 5560","Motherboard","249","12489","QuickRepair","11","11"
"Desktop PC","HP","EliteDesk 800","Charging Port","60","11197","ElectroSpare","47","8"
"Desktop PC","Dell","OptiPlex 5090","Power Button","298","5388","RepairHub","46","9"
"Laptop","HP","Spectre 14","Back Cover","45","12387","ElectroSpare","44","10"
"Tablet","Lenovo","Tab M9","Back Cover","48","8335","TechWorld","33","11"
"Tablet","Samsung","Tab A8","Speaker","102","2896","DigitalCare","14","7"
"Tablet","Huawei","MediaPad T5","Motherboard","251","10854","ElectroSpare","21","7"
"Phone","iPhone","12 Pro","Camera","218","9072","GadgetFix","50","7"
"Laptop","Acer","Predator Helios 16","Camera","104","6160","MobileFix","36","5"
"Phone","Vivo","Y17s","Battery","111","14877","SmartParts Kenya","31","4"
"Laptop","Dell","XPS 15","Battery","38","9554","GadgetFix","15","4"
"Tablet","Apple","iPad Pro 12.9","Back Cover","238","7874","TechWorld","19","5"
"Laptop","Dell","Latitude 7420","Charging Port","111","5686","DigitalCare","38","3"
"Phone","Xiaomi","12T","Screen","155","9994","RepairHub","12","8"
"Phone","Samsung","A73","Power Button","150","3255","ElectroSpare","20","5"
"Laptop","Acer","Nitro 5","Battery","136","9164","DigitalCare","30","8"
"Tablet","Apple","iPad Mini 6","Back Cover","196","2884","RepairHub","33","14"
"Desktop PC","Lenovo","Yoga AIO 7","Microphone","257","4446","DigitalCare","40","13"
"Phone","Samsung","A35","Microphone","143","7933","TechWorld","48","12"
"Laptop","Asus","VivoBook 15","Power Button","281","8862","FixIt Supplies","31","4"
"Tablet","Lenovo","Yoga Smart Tab","Charging Port","286","2973","TechWorld","17","14"
"Desktop PC","Lenovo","ThinkCentre M90","Charging Port","79","14571","SmartParts Kenya","50","3"
"Laptop","Lenovo","IdeaPad Slim 5","Power Button","158","14418","RepairHub","23","10"
"Laptop","Asus","ProArt StudioBook","Charging Port","173","552","DigitalCare","50","11"
"Laptop","HP","ProBook 450","Camera","242","11518","ElectroSpare","42","13"
"Phone","iPhone","SE 2022","Motherboard","235","4159","FixIt Supplies","14","5"
"Phone","Huawei","Nova 9","Motherboard","155","13896","PartsZone","22","10"
"Phone","iPhone","14 Pro","Microphone","297","11906","GadgetFix","32","7"
"Laptop","Asus","Chromebook C434","Motherboard","262","6766","PartsZone","40","9"
"Desktop PC","HP","Compaq 6200","Microphone","82","10682","DigitalCare","28","3"
"Tablet","Lenovo","Yoga Tab 13","Battery","154","11034","MobileFix","23","8"
"Phone","Vivo","V29","Microphone","125","10191","PartsZone","49","6"
"Tablet","Huawei","MatePad SE","Back Cover","81","582","TechWorld","24","14"
"Tablet","Samsung","Tab Active4 Pro","Charging Port","90","6988","DigitalCare","23","14"
"Phone","Xiaomi","Redmi Note 13","Speaker","188","7950","DigitalCare","38","5"
"Laptop","HP","Pavilion 15","Back Cover","202","6407","RepairHub","48","7"
"Desktop PC","Lenovo","ThinkCentre M90","Camera","221","13176","RepairHub","19","13"
"Tablet","Huawei","MatePad T8","Back Cover","36","1654","GadgetFix","27","4"
"Tablet","Apple","iPad 7th Gen","Charging Port","103","3014","FixIt Supplies","42","10"
"Laptop","Asus","ROG Zephyrus G14","Camera","54","14095","RepairHub","14","12"
"Desktop PC","HP","Z4 Tower","Charging Port","166","12987","MobileFix","11","9"
"Phone","Xiaomi","13","Speaker","211","8556","TechWorld","42","11"
"Laptop","HP","EliteBook 840","Motherboard","260","4017","DigitalCare","41","9"
"Tablet","Lenovo","Tab P11 Pro","Camera","269","12634","FixIt Supplies","45","14"
"Tablet","Samsung","Tab A8","Speaker","128","7659","GadgetFix","21","7"
"Desktop PC","HP","EliteDesk 800","Speaker","260","12635","QuickRepair","29","12"
"Tablet","Huawei","MatePad SE","Microphone","67","8590","ElectroSpare","10","13"
"Phone","Xiaomi","Mi 11","Charger","74","8368","QuickRepair","45","8"
"Tablet","Huawei","MatePad Paper","Motherboard","32","9281","SmartParts Kenya","12","11"
"Phone","Huawei","Nova 10","Speaker","199","6593","QuickRepair","35","11"
"Tablet","Huawei","MatePad 11","Charging Port","260","7994","GadgetFix","41","11"
"Phone","iPhone","13 Mini","Speaker","87","3920","PartsZone","44","6"
"Desktop PC","Lenovo","Yoga AIO 7","Camera","186","10417","DigitalCare","26","7"
"Phone","Huawei","P60 Pro","Battery","21","9947","QuickRepair","36","4"
"Laptop","Lenovo","Flex 5","Charging Port","23","10551","PartsZone","32","11"
"Phone","Samsung","A55","Speaker","87","13743","DigitalCare","24","10"
"Tablet","Apple","iPad Pro 11","Power Button","264","14162","MobileFix","22","10"
"Phone","Vivo","Y21","Back Cover","286","6269","MobileFix","34","10"
"Phone","Samsung","Note 20","Battery","30","856","FixIt Supplies","35","14"
"Phone","iPhone","11","Back Cover","113","9948","QuickRepair","16","9"
"Tablet","Samsung","Tab Active4 Pro","Battery","265","7496","SmartParts Kenya","38","12"
"Laptop","Asus","TUF Gaming F15","Speaker","23","1468","PartsZone","13","13"
"Phone","Xiaomi","13","Screen","214","10067","FixIt Supplies","31","9"
"Phone","Huawei","P40","Speaker","95","4006","QuickRepair","40","12"
"Laptop","Dell","XPS 13","Charging Port","266","4685","RepairHub","43","8"
"Desktop PC","HP","Z4 Tower","Charger","98","5587","PartsZone","49","14"
"Laptop","Acer","Predator Helios 16","Charging Port","52","2904","RepairHub","25","6"
"Laptop","Dell","XPS 13","Back Cover","240","7884","PartsZone","37","8"
"Tablet","Lenovo","Yoga Tab 13","Back Cover","135","9718","FixIt Supplies","34","5"
"Desktop PC","Lenovo","ThinkStation P340","Power Button","222","8416","PartsZone","37","9"
