product_category,problem,repair_status,brand,model,year_of_manufacture
laptop,laptop won t boot,repairable,Toshiba,Unknown,????
hi fi separates,radio buzzing cutting out,fixed,Unknown,Unknown,????
hi fi separates,cd player no sound,fixed,Unknown,Unknown,????
tv and gaming related accessories,dvd player no sound,end of life,Unknown,Unknown,????
handheld entertainment device,mp3 player no power,fixed,Apple,Unknown,????
mobile,mobile mic problem tried cardboard hack and failed,repairable,Apple,Unknown,????
laptop,laptop no power,end of life,Acer,Unknown,????
flat screen,monitor no picture likely the backlight,end of life,Apple,Unknown,????
lamp,lamp no light no time,end of life,Unknown,Unknown,????
pc accessory,keyboard faulty keys much photographed,end of life,Apple,Unknown,????
pc accessory,mouse charger blew,end of life,Unknown,Unknown,????
tv and gaming related accessories,portable dvd player drive broken,fixed,Unknown,Unknown,????
mobile,mobile configuration problem,fixed,Samsung,Unknown,????
vacuum,hoover overheats,end of life,Unknown,Unknown,????
tv and gaming related accessories,freeview box gets no power,repairable,Unknown,Unknown,????
digital compact camera,camera screen issue,end of life,Sony,Unknown,????
hi fi separates,musical keyboard gets no power,fixed,Yamaha,Unknown,????
mobile,mobile,end of life,Samsung,Unknown,????
portable radio,radio,unknown,Sony,Unknown,????
desktop computer,desktop computer,fixed,Unknown,Unknown,????
laptop,laptop screen issue,end of life,Sony,Unknown,????
flat screen,monitor no image faulty capacitor identified,repairable,Unknown,Unknown,????
laptop,laptop water damage removed hd terminal,end of life,HP,Unknown,????
tv and gaming related accessories,dvd recorder open close mechanism,end of life,Unknown,Unknown,????
hi fi integrated,home stereo no sound output,repairable,Sony,Unknown,????
hi fi integrated,home stereo buttons broken,fixed,Unknown,Unknown,????
mobile,mobile no sound output,end of life,Motorola,Unknown,????
digital compact camera,camera lens stuck,repairable,Unknown,Unknown,????
laptop,laptop power cutting off needs new battery,end of life,Unknown,Unknown,????
digital compact camera,camera photos too dark owner following up with manufacturer,repairable,Sony,Unknown,????
hi fi separates,audio component no power needs a new capacitor,end of life,Unknown,Unknown,????
laptop,laptop won t boot needs system reinstall,repairable,Unknown,Unknown,????
laptop,laptop won t boot needed an external monitor to test,repairable,Unknown,Unknown,????
laptop,laptop won t boot appears to be a motherboard issue,end of life,Apple,Unknown,????
laptop,laptop gets no power appears to be a motherboard issue,end of life,Samsung,Unknown,????
headphones,headphones no sound output,fixed,Unknown,Unknown,????
pc accessory,computer power adapter coming apart,fixed,Apple,Unknown,????
laptop,laptop no sound output,repairable,Sony,Unknown,????
laptop,laptop running slow,fixed,Unknown,Unknown,????
flat screen,monitor gets no power needs breaking open,repairable,Unknown,Unknown,????
tv and gaming related accessories,dvd recorder doesn t record,repairable,Unknown,Unknown,????
mobile,mobile won t boot,repairable,Unknown,Unknown,????
hi fi separates,audio component no sound output,repairable,Unknown,Unknown,????
tv and gaming related accessories,game console power cutting off,repairable,Sony,Unknown,????
toaster,toaster gets no power needs a new element,repairable,Unknown,Unknown,????
mobile,mobile gets no power,repairable,Samsung,Unknown,????
laptop,laptop intermittent fault couldn t replicate the fault,end of life,Apple,Unknown,????
desktop computer,desktop computer power cutting off motherboard terminal,end of life,HP,Unknown,????
lamp,lamp gets no power needs a new switch,repairable,Unknown,Unknown,????
kettle,kettle gets no power,end of life,Unknown,Unknown,????
misc,lined phone no sound output,fixed,Unknown,Unknown,????
mobile,mobile vibrating,repairable,Sony,Unknown,????
digital compact camera,camera no data output,end of life,Canon,Unknown,????
mobile,headphones coming apart sugru,fixed,Unknown,Unknown,????
mobile,mobile screen issue sourced screen and guide,repairable,ZDE,Unknown,????
misc,transcription machine gets no power battery corrosion,fixed,Philips,Unknown,????
pc accessory,hd faulty casing needs new casing,end of life,Seagate,Unknown,????
laptop,netbook loose power in,fixed,Acer,Unknown,????
small kitchen item,mini oven no power needs new element,end of life,Unknown,Unknown,????
small kitchen item,clock no power battery corrosion,fixed,Unknown,Unknown,????
pc accessory,computer power adapter coming apart sugru,fixed,Apple,Unknown,????
mobile,mobile screen issue,fixed,Sony,Unknown,????
laptop,laptop unstable,end of life,HP,Unknown,????
laptop,laptop liquid damage needs new keyboard,fixed,Dell,Unknown,????
hi fi separates,audio component open close mechanism mechanical problem not fixed,end of life,Unknown,Unknown,????
hi fi separates,audio component mechanical problem part needed,repairable,Sony,Unknown,????
hi fi separates,audio component no sound output in one channel,end of life,Unknown,Unknown,????
handheld entertainment device,mp3 player switch problem,repairable,Apple,Unknown,????
laptop,netbook won t boot needs keyboard,repairable,Unknown,Unknown,????
laptop,laptop overheats,end of life,Dell,Unknown,????
mobile,mobile switch problem,end of life,Apple,Unknown,????
hi fi separates,audio component fried after wrong voltage,repairable,Fisher-Price,Unknown,????
portable radio,handheld radio damaged casing,fixed,Unknown,Unknown,????
toy,remote controlled heli after a crash no lift,end of life,Unknown,Unknown,????
hair beauty item,toothbrush after a drop you have to break it to open it,end of life,Unknown,Unknown,????
hi fi separates,audio component blown capacitor,fixed,Unknown,Unknown,????
pc accessory,laptop charger no power,fixed,Unknown,Unknown,????
laptop,laptop loose power in,end of life,Samsung,Chromebook,????
flat screen,tv image problem,end of life,Samsung,Unknown,????
aircon dehumidifier,humidifier no power,end of life,Unknown,Unknown,????
laptop,laptop won t boot think its the graphics card,repairable,Toshiba,Unknown,????
mobile,mobile bricked,end of life,Samsung,Unknown,????
printer scanner,printer black cartridge not working deep clean needed,repairable,Canon,Unknown,????
laptop,netbook boots but doesn t accept pw,fixed,Unknown,Unknown,????
hi fi integrated,home stereo sound problem,fixed,Unknown,Unknown,????
headphones,headphones no sound output in one channel,end of life,Sennheiser,Unknown,????
laptop,laptop problem with adapter,end of life,ASUS,Unknown,????
portable radio,radio no signal,end of life,Roberts,Unknown,????
laptop,laptop broken screen needs replacement screen,repairable,Apple,Unknown,????
tablet,tablet battery issue,fixed,Unknown,Unknown,????
laptop,laptop boots slowly,fixed,Unknown,Unknown,????
laptop,laptop won t boot needs windows boot disc,repairable,Unknown,Unknown,????
decorative or safety lights,bike lights battery issue soldered together,end of life,Unknown,Unknown,????
digital compact camera,camera mechanical problem,fixed,Unknown,Unknown,????
laptop,laptop won t boot think its the graphic card,repairable,Unknown,Unknown,????
headphones,headphones sound problem laptop medium,repairable,Unknown,Unknown,????
hi fi integrated,home stereo mechanical problem,fixed,Unknown,Unknown,????
portable radio,radio sound problem midas touch,fixed,Unknown,Unknown,????
hi fi separates,audio component mechanical problem,end of life,Unknown,Unknown,????
pc accessory,external hd no data output,end of life,Unknown,Unknown,????
hi fi separates,cd player mechanical problem midas touch,fixed,Unknown,Unknown,????
decorative or safety lights,watch battery issue,end of life,Unknown,Unknown,????
mobile,mobile no power,repairable,Apple,Unknown,????
small kitchen item,ricecooker second time more time,repairable,Unknown,Unknown,????
printer scanner,printer error message,end of life,Canon,Unknown,????
printer scanner,printer mechical problem,end of life,HP,Unknown,????
hair beauty item,defuser aromtherapy no power,end of life,Unknown,Unknown,????
digital compact camera,camera no power,end of life,Kodak,Unknown,????
tv and gaming related accessories,dvd player no sound probably a capacitor but not sure,end of life,Unknown,Unknown,????
digital compact camera,camera botched repair,end of life,Unknown,Unknown,????
hi fi separates,cd player mechnical problem needs replacement switch,repairable,Unknown,Unknown,????
power tool,power drill no power,fixed,Unknown,Unknown,????
handheld entertainment device,handheld radio running slow,end of life,Unknown,Unknown,????
kettle,kettle not heating,fixed,Unknown,Unknown,????
laptop,laptop keyboard,fixed,Unknown,Unknown,????
hi fi integrated,home stereo no power maybe the fuse,repairable,Unknown,Unknown,????
mobile,mobile battery issue,end of life,Samsung,Unknown,????
toy,toy no power,end of life,Unknown,Unknown,????
small kitchen item,clock no power,fixed,Unknown,Unknown,????
laptop,laptop internet issue virus problem,end of life,Unknown,Unknown,????
laptop,laptop strange screen mouse,repairable,Apple,Unknown,????
musical instrument,drum machine no power,fixed,Yamaha,Unknown,????
tv and gaming related accessories,vcr no power was just the fuse,fixed,Unknown,Unknown,????
digital compact camera,camera no power needs new part,repairable,Unknown,Unknown,????
pc accessory,solar charger battery issue needed to break it to get inside,end of life,Unknown,Unknown,????
pc accessory,external hd no data output identified the problem,end of life,Unknown,Unknown,????
headphones,headphones faulty jack,fixed,Unknown,Unknown,????
pc accessory,camera charger never worked mismatch with the camera,fixed,Unknown,Unknown,????
printer scanner,printer adjustment needed needs professional adjustment,repairable,Canon,Unknown,????
laptop,laptop battery issue,fixed,Apple,Unknown,????
laptop,laptop running slow battery issues running faster,fixed,Unknown,Unknown,????
laptop,laptop won t boot installed linux,fixed,Dell,Unknown,????
mobile,mobile screen issue not enough time,repairable,Apple,Unknown,????
mobile,mobile no sim card recognition,end of life,Apple,Unknown,????
hi fi separates,cd player doesn t play not enough time,end of life,Unknown,Unknown,????
mobile,mobile won t boot not enough time,end of life,Samsung,Unknown,????
laptop,laptop running slow gave a utility,repairable,Dell,Unknown,????
pc accessory,external dvd dropped not reading,end of life,Unknown,Unknown,????
lamp,lamp shorting,fixed,Unknown,Unknown,????
laptop,laptop power in problem,end of life,Packard Bell,Unknown,????
laptop,laptop dvd player broken,repairable,HP,Unknown,????
hi fi integrated,tv no picture midas touch,fixed,Samsung,Unknown,????
hi fi integrated,home stereo cd doesn t read,fixed,Sharp,Unknown,????
handheld entertainment device,mp3 player screen issue,end of life,Apple,Unknown,????
mobile,mobile firmware issue improved,fixed,HTC,Unknown,????
laptop,netbook power in problem soldered or sugrued,fixed,Samsung,Unknown,????
mobile,mobile firmware issue,fixed,Samsung,Unknown,????
desktop computer,pc tower power issue,fixed,Unknown,Unknown,????
hi fi separates,home stereo no power,end of life,Unknown,Unknown,????
hi fi separates,external speakers no sound,fixed,JBL,Unknown,????
handheld entertainment device,gps device won t boot,end of life,Unknown,Unknown,????
headphones,headphones no sound in one channel,fixed,Unknown,Unknown,????
printer scanner,printer paper jam error no time,repairable,HP,Unknown,????
laptop,laptop mousepad issue no time,repairable,Apple,Unknown,????
flat screen,tv intermittent fault need to followup,fixed,Samsung,Unknown,????
hi fi integrated,home stereo cd doesn t read found a work around,fixed,Unknown,Unknown,????
laptop,laptop keyboard got 3 keys bacl,fixed,Apple,Unknown,????
laptop,laptop running slow sped up but new ram advised,fixed,Unknown,Unknown,????
laptop,laptop won t boot more stable,fixed,Unknown,Unknown,????
handheld entertainment device,mp3 player no sound in one channel,repairable,Apple,Unknown,????
portable radio,radio lcd screen,fixed,Unknown,Unknown,????
laptop,laptop overheating,end of life,Unknown,Unknown,????
laptop,laptop no power advice given,repairable,Unknown,Unknown,????
hi fi separates,portable stereo power in problem,fixed,Unknown,Unknown,????
hi fi separates,speaker subwoofer resistor,end of life,Unknown,Unknown,????
small kitchen item,juicer no power,fixed,Unknown,Unknown,????
digital compact camera,camera doesn t focus needs spare part commonly documented defect,repairable,Canon,Unknown,????
digital compact camera,camera no power new battery needed,repairable,Unknown,Unknown,????
vacuum,sewing machine stuck,end of life,Unknown,Unknown,????
pc accessory,mp3 player no sound in one channel 3rd time back,fixed,Apple,Unknown,????
lamp,lamp intermittent fault new switch needed,repairable,Unknown,Unknown,????
laptop,laptop no power needs new power cable,repairable,Toshiba,Unknown,????
pc accessory,router no power,end of life,Unknown,Unknown,????
tablet,tablet screen issue,end of life,Unknown,Unknown,????
laptop,laptop overheating gave it a good clean,fixed,Unknown,Unknown,????
mobile,mobile screen issue needs a new part,repairable,Apple,Unknown,????
handheld entertainment device,mp3 player no power no time,repairable,Apple,Unknown,????
mobile,headphones broken jack,fixed,Unknown,Unknown,????
tablet,tablet usb ports needs replacement part,repairable,BlackBerry,Unknown,????
misc,phone not charging,fixed,Unknown,Unknown,????
printer scanner,printer paper jam error,fixed,Unknown,Unknown,????
desktop computer,pc tower no sound,fixed,Unknown,Unknown,????
desktop computer,pc tower needed memory upgrade,fixed,Unknown,Unknown,????
laptop,laptop won t boot dead,end of life,Unknown,Unknown,????
lamp,lamp intermittent fault,end of life,Unknown,Unknown,????
decorative or safety lights,christmas lights gone out,fixed,Unknown,Unknown,????
tablet,tablet no power lead works,repairable,Apple,Unknown,????
laptop,laptop no sound through headphone jack,fixed,Unknown,Unknown,????
power tool,soldering iron no power needs a spare part,repairable,Unknown,Unknown,????
laptop,laptop usb ports found a work around,end of life,Toshiba,Unknown,????
laptop,laptop no sound,fixed,Apple,Unknown,????
tv and gaming related accessories,dvd player doesn t read dvd no time,end of life,Unknown,Unknown,????
tablet,tablet not charging,end of life,Unknown,Unknown,????
laptop,laptop usb ports gave good advice,end of life,Dell,Unknown,????
laptop,laptop browser issues improved,fixed,Dell,Unknown,????
mobile,headphones no sounds sugru,fixed,Unknown,Unknown,????
tv and gaming related accessories,dvd player mechanical problem,fixed,Unknown,Unknown,????
toy,toy camera no power midas touch,fixed,Fisher-Price,Unknown,????
printer scanner,printer stopped printing needed proprietary cartridges,fixed,Epson,Unknown,????
mobile,mobile screen issue spare part needed,repairable,Apple,Unknown,????
lamp,lamp no power,fixed,Unknown,Unknown,????
portable radio,radio power issues,fixed,Unknown,Unknown,????
handheld entertainment device,phone not charging needed to destroy the case to get into it,end of life,Unknown,Unknown,????
digital compact camera,camera memory card locked very difficult repair,end of life,Unknown,Unknown,????
pc accessory,laptop charger loose connection,fixed,Unknown,Unknown,????
toy,toy intermittent fault,fixed,Unknown,Unknown,????
pc accessory,flash guns no power,fixed,Unknown,Unknown,????
pc accessory,flash guns no power capacitor exploded,end of life,Unknown,Unknown,????
toaster,toaster mechanical problem,fixed,Unknown,Unknown,????
portable radio,radio no reception piece of shit,end of life,Unknown,Unknown,????
tv and gaming related accessories,blueray player mechanical fault,end of life,Unknown,Unknown,????
pc accessory,external hd no power powered on not sure about data,fixed,iOmega Lenovo,Unknown,????
misc,phone no sound,fixed,Unknown,Unknown,????
portable radio,radio no power,end of life,Unknown,Unknown,????
headphones,headphones no sound in one channel no time,repairable,Unknown,Unknown,????
laptop,laptop booting very slow,end of life,Unknown,Unknown,????
hi fi separates,audio component mechnical problem,end of life,Unknown,Unknown,????
pc accessory,keyboard damaged casing,end of life,Unknown,Unknown,????
mobile,mobile not booting needs new motherboard,end of life,Google,Unknown,????
desktop computer,pc tower power cuts out needs new motherboard,end of life,Unknown,Unknown,????
lamp,lamp no power new fuse,fixed,Unknown,Unknown,????
projector,projector image problem no time,end of life,Unknown,Unknown,????
laptop,laptop keyboard needs new keyboard,repairable,Dell,Unknown,????
lamp,cycling vest lights out,fixed,Unknown,Unknown,????
